year,month,day,hour,open,high,low,close,adj close
2019,11,4,19,6219.126953,6242.083984,6180.344238,6180.344238,6180.344238
2019,11,5,19,6204.438965,6264.151855,6195.304199,6264.151855,6264.151855
2019,11,6,19,6273.917969,6274.291992,6198.496094,6217.544922,6217.544922
2019,11,7,19,6234.604004,6235.638184,6119.420898,6165.624023,6165.624023
2019,11,8,19,6165.766113,6180.199219,6139.823242,6177.98584,6177.98584
2019,11,11,19,6171.437012,6182.815918,6127.876953,6148.740234,6148.740234
2019,11,12,19,6135.493164,6180.992188,6133.53418,6180.992188,6180.992188
2019,11,13,19,6177.660156,6183.827148,6132.25293,6142.500977,6142.500977
2019,11,14,19,6137.535156,6146.397949,6062.97998,6098.950195,6098.950195
2019,11,15,19,6115.758789,6137.355957,6092.616211,6128.345215,6128.345215
2019,11,18,19,6126.413086,6134.314941,6098.081055,6122.625,6122.625
2019,11,19,19,6136.937012,6152.089844,6113.333008,6152.089844,6152.089844
2019,11,20,19,6136.25293,6167.411133,6123.584961,6155.108887,6155.108887
2019,11,21,19,6135.76416,6137.270996,6099.567871,6117.36377,6117.36377
2019,11,22,19,6115.791016,6122.480957,6086.827148,6100.242188,6100.242188
2019,11,25,19,6094.748047,6105.097168,6052.265137,6070.762207,6070.762207
2019,11,26,19,6091.237793,6096.661133,6026.187988,6026.187988,6026.187988
2019,11,27,19,6025.940918,6052.492188,6002.987793,6023.039063,6023.039063
2019,11,28,19,6013.270996,6036.828125,5945.75,5953.060059,5953.060059
2019,11,29,19,5949.883789,6015.699219,5939.403809,6011.830078,6011.830078
2019,12,2,19,6023.611816,6130.055176,6023.009766,6130.055176,6130.055176
2019,12,3,19,6119.901855,6148.366211,6107.64209,6133.895996,6133.895996
2019,12,4,19,6121.333008,6127.977051,6095.306152,6112.878906,6112.878906
2019,12,5,19,6132.039063,6157.931152,6131.588867,6152.117188,6152.117188
2019,12,6,19,6160.783203,6186.868164,6145.119141,6186.868164,6186.868164
2019,12,9,19,6194.082031,6210.778809,6180.836914,6193.791016,6193.791016
2019,12,10,19,6186.75293,6205.133789,6179.518066,6183.504883,6183.504883
2019,12,11,19,6190.577148,6204.604004,6171.926758,6180.099121,6180.099121
2019,12,12,19,6185.417969,6201.023926,6139.396973,6139.396973,6139.396973
2019,12,13,19,6181.055176,6197.317871,6167.640137,6197.317871,6197.317871
2019,12,16,19,6197.313965,6237.916016,6197.313965,6211.591797,6211.591797
2019,12,17,19,6223.442871,6244.352051,6205.62793,6244.352051,6244.352051
2019,12,18,19,6287.25,6287.25,6287.25,6287.25,6287.25
2019,12,19,19,6274.388184,6281.416016,6235.844238,6249.930176,6249.930176
2019,12,20,19,6257.160156,6284.37207,6231.46582,6284.37207,6284.37207
2019,12,23,19,6309.670898,6315.721191,6270.539063,6305.910156,6305.910156
2019,12,26,19,6303.059082,6326.268066,6303.059082,6319.442871,6319.442871
2019,12,27,19,6321.568848,6337.335938,6312.380859,6329.313965,6329.313965
2019,12,30,19,6329.134766,6336.919922,6289.546875,6299.539063,6299.539063
2020,1,2,19,6313.12793,6317.013184,6263.675781,6283.581055,6283.581055
2020,1,3,19,6306.187012,6323.46582,6287.706055,6323.46582,6323.46582
2020,1,6,19,6293.499023,6300.436035,6252.634766,6257.402832,6257.402832
2020,1,7,19,6272.220215,6284.89209,6246.128906,6279.346191,6279.346191
2020,1,8,19,6248.442871,6250.12207,6218.129883,6225.686035,6225.686035
2020,1,9,19,6248.661133,6274.493164,6238.98291,6274.493164,6274.493164
2020,1,10,19,6287.166992,6295.370117,6271.97998,6274.940918,6274.940918
2020,1,13,19,6287.912109,6297.775879,6269.480957,6296.566895,6296.566895
2020,1,14,19,6308.890137,6325.405762,6298.60791,6325.405762,6325.405762
2020,1,15,19,6326.166016,6348.525879,6255.498047,6283.365234,6283.365234
2020,1,16,19,6275.956055,6299.541016,6255.493164,6286.047852,6286.047852
2020,1,17,19,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227
2020,1,20,19,6310.500977,6312.98877,6240.189941,6245.042969,6245.042969
2020,1,21,19,6251.99707,6257.884766,6226.063965,6238.152832,6238.152832
2020,1,22,19,6241.575195,6265.51416,6223.189941,6233.453125,6233.453125
2020,1,23,19,6243.998047,6255.042969,6229.130859,6249.209961,6249.209961
2020,1,24,19,6242.834961,6258.851074,6234.825195,6244.108887,6244.108887
2020,1,27,19,6240.817871,6242.176758,6130.928223,6133.208008,6133.208008
2020,1,28,19,6111.184082,6111.184082,6111.184082,6111.184082,6111.184082
2020,1,29,19,6123.095215,6152.588867,6102.795898,6113.044922,6113.044922
2020,1,30,19,6057.596191,6057.596191,6057.596191,6057.596191,6057.596191
2020,1,31,19,6076.458984,6078.930176,5937.021973,5940.047852,5940.047852
2020,2,3,19,5920.967773,5942.782227,5877.201172,5884.169922,5884.169922
2020,2,4,19,5947.506836,5952.946777,5911.375,5922.338867,5922.338867
2020,2,5,19,5955.519043,5978.509766,5924.374023,5978.509766,5978.509766
